,hv009,hv014,hv025,hv201,hv201b,hv204,hv205,hv206,hv207,hv208,hv209,hv210,hv211,hv212,hv213,hv214,hv215,hv216,hv217,hv219,hv220,hv221,hv222,hv223,hv225,hv226,hv227,hv228,hv230a,hv230b,hv232,hv232b,hv232y,hv234a,hv237,hv237a,hv237b,hv237c,hv237d,hv237e,hv237f,hv237x,hv237z,hv238a,hv241,hv243a,hv243b,hv243c,hv243d,hv243e,hv244,hv246,hv246a,hv246b,hv246c,hv246d,hv246e,hv246f,hv246h,hv247,hv252,hv259,hv261,hv262,hv263,hml1,hml2,sh101a,sh134a,sh134b,sh134c,sh151aa,sh151ab,sh151ac,sh151ad,sh151ae,sh151ax,sh155a,sh155b,sh161a,sh162a,sh163a,sh161b,sh161c,sh162c,sh161d,sh161e,sh165,sh177a,sh177b,sh177c,sh177d,sh177e,sh177f,sh177g,sh177h,sh177i,sh177j,sh177k,sh177l,sh177x,sh132d,sh132e,sh132h,sh132j,sh132k,sh132l,sh132m,sh132o,sh132p,sh133c,sh133f,sh133g,sh133h,hv001,hv005,wealth_index,original_wealth_index
0,-1.1678926623320032,-0.9163635780284165,0,0,0,49,1,1,1,1,0,0,0,0,8,11,11,-1.216633989263045,3,0,30,0,10,8,1,18,0,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,23,0,0,4,7,0,1,0,-0.579403851456274,3,1,2,1,1,1,0,0,0,0,1,2,1,0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,9.466983914291333,74726
1,0.3118987273519654,-0.31443497959331146,0,3,0,5,0,1,1,1,1,0,0,0,6,11,9,-0.07576026399908675,4,0,37,0,2,3,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,23,1,1,3,7,0,1,0,-0.579403851456274,1,1,1,1,0,0,0,0,0,0,1,2,1,1,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,1.2594998564333555,112922
2,-1.332313927852444,-0.9163635780284165,0,0,0,49,1,1,1,1,1,1,1,0,6,10,11,-1.216633989263045,1,0,30,0,2,3,1,2,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,23,1,0,4,7,0,1,1,-0.579403851456274,3,1,2,2,1,1,0,0,0,0,1,2,1,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,1308253.0,2.889919191286779,161280
3,-0.01694380368891651,-0.31443497959331146,0,0,0,49,0,1,0,1,1,0,0,0,7,11,11,-0.4560515057537395,4,0,21,1,2,3,1,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,6,14,0,1,1,-0.579403851456274,7,0,2,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1308253.0,2.1086789630896776,121004
4,-1.332313927852444,-0.9163635780284165,0,0,0,49,0,1,0,1,0,0,0,0,0,8,9,-1.216633989263045,1,1,52,0,2,3,1,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,14,0,0,0,-0.579403851456274,3,1,1,0,1,1,0,0,0,0,1,2,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,0.6079669657485091,47440
5,-1.0034713968115623,-0.31443497959331146,0,3,0,5,0,1,0,1,1,0,1,0,6,11,11,-1.216633989263045,2,0,16,0,2,3,1,2,0,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,4,0,1,24,57,0,0,1,4,7,0,1,0,-0.579403851456274,3,1,2,1,0,1,0,0,0,1,0,0,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,0.26457480834950725,101842
6,-0.8390501312911213,-0.9163635780284165,0,0,1,49,0,1,0,1,1,0,0,0,6,11,11,0.304530977755566,4,1,50,0,2,3,0,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,14,0,1,0,-0.579403851456274,0,0,1,1,1,1,1,0,0,0,1,2,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,1.2374610031916864,109154
7,-1.0034713968115623,-0.9163635780284165,0,0,0,49,0,1,1,1,1,1,0,0,6,11,11,-0.8363427475083922,2,0,56,1,2,3,0,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,23,1,0,6,14,0,1,2,-0.579403851456274,0,0,0,0,1,1,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1.0,1308253.0,3.6211241286606524,205538
8,-0.6746288657706803,-0.9163635780284165,0,0,1,49,1,1,0,1,1,0,0,0,6,11,11,-0.4560515057537395,4,1,37,0,2,3,1,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,2,7,0,1,0,-0.579403851456274,3,1,1,1,1,1,0,0,0,0,1,3,1,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,2.035276682261205,137154
9,-0.8390501312911213,-0.9163635780284165,0,0,0,49,0,1,0,1,1,0,0,0,6,11,11,-0.8363427475083922,4,1,48,0,2,3,0,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,1,0,6,14,0,1,0,-0.579403851456274,3,0,1,0,1,1,0,0,0,0,1,2,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1308253.0,2.3906018573717986,147910
